"run_ID"	"omni_ns_linT"	"omni_ns_linF"	"omni_is_linT"	"omni_is_linF"	"omni_ls_linT"	"omni_ls_linF"	"link_ns_linT"	"link_ns_linF"	"link_is_linT"	"link_is_linF"	"link_ls_linT"	"link_ls_linF"	"form_ns_linT"	"form_ns_linF"	"form_is_linT"	"form_is_linF"	"form_ls_linT"	"form_ls_linF"
472	10.818	361.502	9.447	362.714	7.762	182.944	5.956	336.246	6.014	339.814	4.318	149.515	5.997	339.414	6.11	341.926	4.41399999999999	159.761
489	12.029	384.951	10.583	318.897	8.804	148.6	6.639	294.954	6.76000000000001	294.86	4.913	123.305	6.77400000000001	297.947	6.744	297.178	4.899	123.788
237	14.585	402.155	12.274	429.226	10.248	370.407	7.36	1206.635	7.154	1020.791	5.41499999999999	1063.325	7.274	1137.712	7.218	1483.891	5.53399999999999	602.296
464	12.684	399.305	11.053	384.166	9.222	180.091	6.742	362.551	6.763	367.718	4.877	157.022	6.73	368.272	6.762	377.048	4.86500000000001	167.301
478	12.88	427.139	10.991	409.13	9.315	171.044	6.361	353.039	6.267	333.912	4.652	136.097	6.383	341.503	6.374	344.359	4.657	132.641
473	12.117	414.414	10.231	404.499	8.503	188.8	6.126	329.958	6.155	340.261	4.404	146.481	6.213	335.987	6.175	337.482	4.43900000000001	140.197
492	14.314	345.563	12.628	343.619	11.093	150.496	7.601	319.928	7.643	315.308	5.818	122.039	7.586	307.282	7.611	299.824	5.58800000000001	128.772
485	12.484	352.235	10.924	351.839	8.98	173.865	7.017	329.073	7.163	342.753	5.045	151.689	7.113	334.468	7.083	341.074	5.036	152.471
420	12.418	500.654	10.929	481.418	9.255	290.917	6.795	525.362	6.84800000000001	486.213	5.04	303.331999999999	6.81099999999999	389.515	7.07299999999999	461.542	5.042	282.097000000001
423	13.319	526.535	11.514	493.877	9.516	293.006	7.201	426.378	7.292	610.29	5.213	284.203	7.208	617.201999999999	7.26899999999999	381.897	5.20399999999999	174.425999999999
486	12.3	358.119	10.745	353.093	8.958	177.339	6.816	327.492	6.943	328.276	5.022	146.955	6.904	303.213	6.837	302.948	5.01100000000001	138.844000000001
508	15.351	300.186	13.302	291.922	10.906	127.158	7.491	276.332	7.689	273.585	5.57599999999999	110.586	7.702	288.56	7.86199999999999	299.503	5.738	124.531
427	12.12	557.462	10.792	503.9	8.993	356.279	7.115	495.715	7.034	553.755	5.126	204.014	7.095	549.229	6.96499999999999	453.227	5.119	236.569
476	13.147	461.56	11.483	448.66	9.607	157.723	6.807	411.978	6.712	416.094	5.021	134.779	6.83900000000001	413.338	6.724	411.348	4.97800000000001	133.959000000001
487	12.293	402.088	11.032	366.253	9.077	177.843	7.029	332.175	6.975	356.693	4.959	148.828	7.082	353.893	7.123	342.497	4.934	155.623000000001
494	13.992	339.008	12.398	333.872	10.744	162.85	7.579	311.11	7.645	308.43	5.658	138.491	7.553	315.22	7.628	303.64	5.607	129.95
479	13.057	425.844	11.205	406.677	9.476	231.573	6.618	358.325	6.35899999999999	366.582	4.791	199.951	6.623	394.521	6.58799999999999	362.066	4.935	198.56
425	12.815	488.052	11.034	463.574	9.292	408.719	6.80500000000001	441.034	6.856	511.478	4.99	343.764	6.803	447.617	6.816	586.235	4.968	287.879
444	13.128	437.136	11.638	528.309	9.812	390.012	7.519	426.152	7.481	511.404	5.419	412.284	7.399	509.911	7.45399999999999	444.487	5.29499999999999	345.801
503	12.765	398.08	11.116	377.28	9.145	156.265	6.802	349.556	6.828	359.019	4.861	148.933	6.82699999999999	350.89	6.843	342.646	4.87100000000001	132.299
495	12.844	433.06	11.462	428.786	9.643	166.271	7.377	405.984	7.384	400.766	5.372	142.775	7.366	398.755	7.331	391.045	5.351	143.513
493	13.959	421.61	12.346	424.611	10.649	158.638	7.58	346.006	7.66	344.036	5.65	131.186	7.571	347.029	7.646	349.415	5.59999999999999	128.767
496	12.836	399.672	11.422	398.07	9.665	165.573	7.326	379.097	7.343	373.288	5.403	140.318	7.30099999999999	390.796	7.31099999999999	393.139	5.30200000000001	147.433
